"RANK","Nom Unité Opérationnelle","Identifiant GED","Site CEC","Service","Fournisseur","Blocage","Chef de projet","Entité","CA","Num commande","Montant de la commande/Appel de cde","Montant des réceptions","Montant des factures","Montant mise à disposition","Numéro Facture","Montant Facture TTC (DEVISE)","Devise Facture","Type","Acheteur","Type d'achat PO","Intervenant","Nombre de jours à l'échéance","Échéance"
"15","OCP_32882:57904","0921_0090_33254416","Port Jorf","JORF Z","Fournisseur B","XX","XX","15","15","D3652539","47145900","23356300","31225500","10720000","?_1770574","3122800","MAD","F locaux","HASSAN.3334","M - Frais communs - Achats de Travaux, Etudes et Prestations de service","SPOC","47","Echue dans 60 jours"
"16","JF8_29638:58730","322_0117_561358653","Port Jorf","JORF B","Fournisseur C","XX","XX","16","16","=3431879","56965700","17385300","19917100","16424400","A_2448710","11795400","MAD","F locaux","RABII.889","S - stocks","SPOC","60","Echue dans 60 jours"
"21","OCP_43173:61693","B_362478_20373704","Port Jorf","JORF Z","Fournisseur X","Missing","Missing","Missing","Missing","=835352","48034500","13890700","45650300","22253500","F_4653931","16520400","MAD","F locaux","KANFAOUI.57","S - stocks","Litige","40","Echue dans 60 jours"
"22","OCP_58509:91197","CDS30403_0210_58987","Port Jorf","JORF B","Fournisseur Y","XX","XX","22","22","?1974371","63419000","41539500","52635200","19045500","@_4857477","7946810","USD","F étrangers","SAMAR.8890","M - marché","SPOC","36","Echue dans 60 jours"
"23","JF8_82557:62583","330_0003_565616","Port Jorf","JORF Z","Fournisseur Z","XX","XX","23","23","D3732827","55310700","2249560","9080960","43647800","B_1407193","21127100","USD","F étrangers","RIYAHI.8547","M - Frais communs - Achats de Travaux, Etudes et Prestations de service","SPOC","44","Echue dans 60 jours"
"24","JF8_75150:64263","30_0003_500523","Port Jorf","JORF B","Fournisseur A","XX","XX","24","24","D3320975","93971800","4883110","6587690","1258770","A_5146749","107117","MAD","F locaux","KARAMI.5900","E - Equipement","SPOC","60","Echue dans 60 jours"
"25","JF8_69526:86288","0921_0090_33254417","Port Jorf","JORF Z","Fournisseur B","XX","XX","25","25","D1022644","1219120","443561","563105","672985","F_383676","56129","MAD","F locaux","HASSAN.3335","M - Frais communs - Achats de Travaux, Etudes et Prestations de service","SPOC","-2","Echue"
"26","JF8_70722:76000","322_0117_561358654","Port Jorf","JORF B","Fournisseur C","XX","XX","26","26","@4405243","6941820","1153270","1991000","1741860","@_1308410","1053410","MAD","F locaux","RABII.890","S - stocks","SPOC","8","Echue dans 30 jours"
"31","OCP_84972:64954","K_143661_12912946","Port Jorf","JORF Z","Fournisseur X","Missing","Missing","Missing","Missing","?6434364","68044600","5638200","30107100","67750100","?_6428482","41996700","MAD","F locaux","KANFAOUI.58","S - stocks","Litige","3","Echue dans 7 jours"
"32","OCP_56413:38952","CDS30403_0210_58988","Port Jorf","JORF B","Fournisseur Y","XX","XX","32","32","?3996262","79251600","2823070","19299900","5009880","<_439007","1170170","EUR","F étrangers","SAMAR.8891","M - marché","SPOC","38","Echue dans 60 jours"
"33","OCP_24649:28988","330_0003_565617","Port Jorf","JORF Z","Fournisseur Z","XX","XX","33","33","@4085965","62459200","19123500","35599900","60557600","@_2465735","36126900","USD","F étrangers","RIYAHI.8548","M - Frais communs - Achats de Travaux, Etudes et Prestations de service","SPOC","-7","Echue"
"34","OCP_74275:20104","30_0003_500524","Port Jorf","JORF B","Fournisseur A","XX","XX","34","34","B6150632","14455100","6663680","13911400","3881260","F_907150","3371170","MAD","F locaux","KARAMI.5901","E - Equipement","SPOC","22","Echue dans 30 jours"
"35","JF8_71296:7949","0921_0090_33254418","Port Jorf","JORF Z","Fournisseur B","XX","XX","35","35","?2579548","93635000","32547000","65802000","567180","<_533873","338124","MAD","F locaux","HASSAN.3336","M - Frais communs - Achats de Travaux, Etudes et Prestations de service","SPOC","43","Echue dans 60 jours"
"36","OCP_70784:54879","322_0117_561358655","Port Jorf","JORF B","Fournisseur C","XX","XX","36","36","A224852","31380300","13215500","13723200","19809700","C_4258991","12962900","MAD","F locaux","RABII.891","S - stocks","SPOC","-18","Echue"
"41","OCP_82046:44958","D_704880_2781899","Port Jorf","JORF Z","Fournisseur X","Missing","Missing","Missing","Missing","@1838661","17845800","454315","14675700","10327600","D_1617305","700962","MAD","F locaux","KANFAOUI.59","S - stocks","Litige","49","Echue dans 60 jours"
"42","JF8_43927:49596","CDS30403_0210_58989","Port Jorf","JORF B","Fournisseur Y","XX","XX","42","42","@6422746","36582100","14642900","15099600","12179700","<_5555465","3772280","USD","F étrangers","SAMAR.8892","M - marché","SPOC","-12","Echue"
"43","OCP_9697:15582","330_0003_565618","Port Jorf","JORF Z","Fournisseur Z","XX","XX","43","43","<5158712","30621600","19422400","20454800","24534000","D_4273317","3912020","EUR","F étrangers","RIYAHI.8549","M - Frais communs - Achats de Travaux, Etudes et Prestations de service","SPOC","19","Echue dans 30 jours"
"44","JF8_93412:71883","30_0003_500525","Port Jorf","JORF B","Fournisseur A","XX","XX","44","44","A306318","66717900","27280100","35477000","3810760","F_1148532","2653220","MAD","F locaux","KARAMI.5902","E - Equipement","SPOC","3","Echue dans 7 jours"
"45","OCP_49024:58584","0921_0090_33254419","Port Jorf","JORF Z","Fournisseur B","XX","XX","45","45","?6038626","51907400","12783800","50331700","5921900","F_5389001","1217020","MAD","F locaux","HASSAN.3337","M - Frais communs - Achats de Travaux, Etudes et Prestations de service","SPOC","-4","Echue"
"46","OCP_19454:73100","322_0117_561358656","Port Jorf","JORF B","Fournisseur C","XX","XX","46","46","B2471507","88041900","12384900","41463900","3605020",">_4040452","3349650","MAD","F locaux","RABII.892","S - stocks","SPOC","21","Echue dans 30 jours"
"51","JF8_88145:61590","Q_47424_66029091","Port Jorf","JORF Z","Fournisseur X","Missing","Missing","Missing","Missing","C2482825","36523600","8411130","14712600","7685140","D_5843265","1855200","MAD","F locaux","KANFAOUI.60","S - stocks","Litige","44","Echue dans 60 jours"
"52","JF8_58119:15874","CDS30403_0210_58990","Port Jorf","JORF B","Fournisseur Y","XX","XX","52","52","?4959593","31212800","2179530","3532040","3179680",">_4025024","2315470","EUR","F étrangers","SAMAR.8893","M - marché","SPOC","-2","Echue"
"53","JF8_79112:8851","330_0003_565619","Port Jorf","JORF Z","Fournisseur Z","XX","XX","53","53","@2922148","46250800","10147800","39103600","41508600","?_1489045","22905600","EUR","F étrangers","RIYAHI.8550","M - Frais communs - Achats de Travaux, Etudes et Prestations de service","SPOC","27","Echue dans 30 jours"
"54","JF8_79519:81848","30_0003_500526","Port Jorf","JORF B","Fournisseur A","XX","XX","54","54","@5858564","21237700","3019620","7975980","16404000","F_1005224","8752370","MAD","F locaux","KARAMI.5903","E - Equipement","SPOC","41","Echue dans 60 jours"
"55","JF8_3634:78571","0921_0090_33254420","Port Jorf","JORF Z","Fournisseur B","XX","XX","55","55","A2671777","33626000","25914300","29500200","27940500","A_6148117","25234600","MAD","F locaux","HASSAN.3338","M - Frais communs - Achats de Travaux, Etudes et Prestations de service","SPOC","35","Echue dans 60 jours"
"56","JF8_74009:30637","322_0117_561358657","Port Jorf","JORF B","Fournisseur C","XX","XX","56","56","?3432165","66223600","6523040","35715300","54805500","B_5220167","47106300","MAD","F locaux","RABII.893","S - stocks","SPOC","57","Echue dans 60 jours"
"61","OCP_33919:13642","<_375462_38582092","Port Jorf","JORF Z","Fournisseur X","Missing","Missing","Missing","Missing","B5804697","51455500","7841760","42870600","26015600","@_2990736","1012310","MAD","F locaux","KANFAOUI.61","S - stocks","Litige","27","Echue dans 30 jours"
"62","OCP_99157:84726","CDS30403_0210_58991","Port Jorf","JORF B","Fournisseur Y","XX","XX","62","62","=2422063","7039930","546367","5417310","3268320","D_1245302","3181080","EUR","F étrangers","SAMAR.8894","M - marché","SPOC","54","Echue dans 60 jours"
"63","OCP_5933:6609","330_0003_565620","Port Jorf","JORF Z","Fournisseur Z","XX","XX","63","63","D2540902","20540800","12781900","17382600","2239540","C_3041643","709671","EUR","F étrangers","RIYAHI.8551","M - Frais communs - Achats de Travaux, Etudes et Prestations de service","SPOC","44","Echue dans 60 jours"
"64","JF8_39546:71430","30_0003_500527","Port Jorf","JORF B","Fournisseur A","XX","XX","64","64","F4867461","62190400","8147800","13121100","56310300","D_5187929","53268900","MAD","F locaux","KARAMI.5904","E - Equipement","SPOC","3","Echue dans 7 jours"
"65","JF8_47339:40088","0921_0090_33254421","Port Jorf","JORF Z","Fournisseur B","XX","XX","65","65","<1734690","42213100","3085180","3511460","7213410","F_4540420","3927580","MAD","F locaux","HASSAN.3339","M - Frais communs - Achats de Travaux, Etudes et Prestations de service","SPOC","19","Echue dans 30 jours"
"66","JF8_73143:96947","322_0117_561358658","Port Jorf","JORF B","Fournisseur C","XX","XX","66","66","<5312888","36489300","12566800","33002100","25219000","B_4436653","2257960","MAD","F locaux","RABII.894","S - stocks","SPOC","-16","Echue"
"71","JF8_65346:73827","T_810975_47178084","Port Jorf","JORF Z","Fournisseur X","Missing","Missing","Missing","Missing","A6055292","48425900","19380700","25921100","25739600",">_5581474","21570800","MAD","F locaux","KANFAOUI.62","S - stocks","Litige","39","Echue dans 60 jours"
"72","OCP_76416:27033","CDS30403_0210_58992","Port Jorf","JORF B","Fournisseur Y","XX","XX","72","72","F2387510","13267200","3552740","11366200","10911200","?_1936488","9439540","USD","F étrangers","SAMAR.8895","M - marché","SPOC","-2","Echue"
"73","JF8_49111:84109","330_0003_565621","Port Jorf","JORF Z","Fournisseur Z","XX","XX","73","73","?3257151","26040200","6320260","25385300","17078700","A_4292116","3083480","EUR","F étrangers","RIYAHI.8552","M - Frais communs - Achats de Travaux, Etudes et Prestations de service","SPOC","60","Echue dans 60 jours"
"74","OCP_1713:91392","30_0003_500528","Port Jorf","JORF B","Fournisseur A","XX","XX","74","74","B5912274","95559900","9873390","57655800","91261200","B_2997536","41242000","MAD","F locaux","KARAMI.5905","E - Equipement","SPOC","49","Echue dans 60 jours"
"75","JF8_19222:25296","0921_0090_33254422","Port Jorf","JORF Z","Fournisseur B","XX","XX","75","75","B4317820","64777100","779289","1142030","46405200","D_3777043","3488940","MAD","F locaux","HASSAN.3340","M - Frais communs - Achats de Travaux, Etudes et Prestations de service","SPOC","60","Echue dans 60 jours"
"76","OCP_62630:8452","322_0117_561358659","Port Jorf","JORF B","Fournisseur C","XX","XX","76","76","<6453133","84629600","7198220","18222100","49460300","F_696815","34303700","MAD","F locaux","RABII.895","S - stocks","SPOC","16","Echue dans 30 jours"
"81","OCP_76321:9029","O_764985_54304665","Port Jorf","JORF Z","Fournisseur X","Missing","Missing","Missing","Missing","C3990840","48600800","8574090","8684540","5130580","B_3032143","2012620","MAD","F locaux","KANFAOUI.63","S - stocks","Litige","4","Echue dans 7 jours"
"82","JF8_70472:96284","CDS30403_0210_58993","Port Jorf","JORF B","Fournisseur Y","XX","XX","82","82",">3102695","69440700","22305","9943250","3788880","=_5866963","2387120","EUR","F étrangers","SAMAR.8896","M - marché","SPOC","44","Echue dans 60 jours"
"83","OCP_69899:13756","330_0003_565622","Port Jorf","JORF Z","Fournisseur Z","XX","XX","83","83","?2391139","44247400","7608860","24223500","38798900","?_3140613","173720","USD","F étrangers","RIYAHI.8553","M - Frais communs - Achats de Travaux, Etudes et Prestations de service","SPOC","34","Echue dans 60 jours"
"84","JF8_61543:52954","30_0003_500529","Port Jorf","JORF B","Fournisseur A","XX","XX","84","84","E613188","66762800","24187500","31218300","58654200","=_119470","46219800","MAD","F locaux","KARAMI.5906","E - Equipement","SPOC","-10","Echue"
"85","JF8_17115:66500","0921_0090_33254423","Port Jorf","JORF Z","Fournisseur B","XX","XX","85","85","E131585","9569990","4395790","5227220","2186280","E_3811885","996379","MAD","F locaux","HASSAN.3341","M - Frais communs - Achats de Travaux, Etudes et Prestations de service","SPOC","44","Echue dans 60 jours"
"86","OCP_51385:47561","322_0117_561358660","Port Jorf","JORF B","Fournisseur C","XX","XX","86","86","<855404","84929900","36128200","43284300","31763600","B_360139","5658950","MAD","F locaux","RABII.896","S - stocks","SPOC","37","Echue dans 60 jours"
"91","OCP_60006:83917","B_662515_10637350","Port Jorf","JORF Z","Fournisseur X","Missing","Missing","Missing","Missing","A3192344","35726800","30791200","34677900","14320100","<_4513612","6853320","MAD","F locaux","KANFAOUI.64","S - stocks","Litige","53","Echue dans 60 jours"
"92","JF8_73288:40403","CDS30403_0210_58994","Port Jorf","JORF B","Fournisseur Y","XX","XX","92","92","<5404181","37749700","31038900","35087000","19845400","A_4945076","14561200","USD","F étrangers","SAMAR.8897","M - marché","SPOC","29","Echue dans 30 jours"
"93","OCP_90677:28322","330_0003_565623","Port Jorf","JORF Z","Fournisseur Z","XX","XX","93","93","@3193566","92122200","50929000","70868200","24054800","C_6497033","17621700","EUR","F étrangers","RIYAHI.8554","M - Frais communs - Achats de Travaux, Etudes et Prestations de service","SPOC","19","Echue dans 30 jours"
"94","OCP_46213:41361","30_0003_500530","Port Jorf","JORF B","Fournisseur A","XX","XX","94","94","@810889","77675900","13769300","16147800","76409300","F_2784337","43164400","MAD","F locaux","KARAMI.5907","E - Equipement","SPOC","21","Echue dans 30 jours"
"95","OCP_69997:80238","0921_0090_33254424","Port Jorf","JORF Z","Fournisseur B","XX","XX","95","95","?2241216","75047800","683343","17789800","72733800","F_5374331","64447800","MAD","F locaux","HASSAN.3342","M - Frais communs - Achats de Travaux, Etudes et Prestations de service","SPOC","23","Echue dans 30 jours"
"96","JF8_52143:61942","322_0117_561358661","Port Jorf","JORF B","Fournisseur C","XX","XX","96","96","<3304024","88613900","14072700","49364200","36517500","@_2044749","12386200","MAD","F locaux","RABII.897","S - stocks","SPOC","19","Echue dans 30 jours"
"101","OCP_83135:33388","C_171322_71063180","Port Jorf","JORF Z","Fournisseur X","Missing","Missing","Missing","Missing","=6610833","61211600","5964450","32405400","8139040","E_4954986","2044850","MAD","F locaux","KANFAOUI.65","S - stocks","Litige","20","Echue dans 30 jours"
"102","JF8_22708:1360","CDS30403_0210_58995","Port Jorf","JORF B","Fournisseur Y","XX","XX","102","102","@1090249","20811100","9028560","12163600","18025800","F_3093898","11674400","USD","F étrangers","SAMAR.8898","M - marché","SPOC","-18","Echue"
"103","JF8_77312:88677","330_0003_565624","Port Jorf","JORF Z","Fournisseur Z","XX","XX","103","103","C2435243","10239900","1104290","1108040","3098900","C_1975939","1812520","EUR","F étrangers","RIYAHI.8555","M - Frais communs - Achats de Travaux, Etudes et Prestations de service","SPOC","20","Echue dans 30 jours"
"104","JF8_56139:78025","30_0003_500531","Port Jorf","JORF B","Fournisseur A","XX","XX","104","104","A1528113","86546300","34872300","66085500","24010300","F_2690731","1936710","MAD","F locaux","KARAMI.5908","E - Equipement","SPOC","-11","Echue"
"105","OCP_82668:18112","0921_0090_33254425","Port Jorf","JORF Z","Fournisseur B","XX","XX","105","105","<3893416","87763100","18292600","38245400","72117200","D_237155","32239400","MAD","F locaux","HASSAN.3343","M - Frais communs - Achats de Travaux, Etudes et Prestations de service","SPOC","-7","Echue"
"106","JF8_9637:55994","322_0117_561358662","Port Jorf","JORF B","Fournisseur C","XX","XX","106","106","?4334482","61605600","33511100","53292500","32080400","C_4751586","18996900","MAD","F locaux","RABII.898","S - stocks","SPOC","27","Echue dans 30 jours"
"111","JF8_65544:32726","Z_730604_38488113","Port Jorf","JORF Z","Fournisseur X","Missing","Missing","Missing","Missing","A555912","52827900","22454000","23390800","22279600","D_3728063","5104160","MAD","F locaux","KANFAOUI.66","S - stocks","Litige","52","Echue dans 60 jours"
"112","JF8_58970:8419","CDS30403_0210_58996","Port Jorf","JORF B","Fournisseur Y","XX","XX","112","112","D6447863","38034200","34496200","35038900","28093600","D_1114967","27649300","EUR","F étrangers","SAMAR.8899","M - marché","SPOC","39","Echue dans 60 jours"
"113","OCP_65955:75867","330_0003_565625","Port Jorf","JORF Z","Fournisseur Z","XX","XX","113","113","E1720342","16852300","11925100","13700600","8927940","<_6522884","2441390","EUR","F étrangers","RIYAHI.8556","M - Frais communs - Achats de Travaux, Etudes et Prestations de service","SPOC","-12","Echue"
"114","OCP_38987:85562","30_0003_500532","Port Jorf","JORF B","Fournisseur A","XX","XX","114","114","B1155060","95822900","39634000","90450500","26510500","C_5698567","18106400","MAD","F locaux","KARAMI.5909","E - Equipement","SPOC","-11","Echue"
"115","OCP_96052:54092","0921_0090_33254426","Port Jorf","JORF Z","Fournisseur B","XX","XX","115","115","F707044","21830900","402585","1082200","19871800","D_218585","14398900","MAD","F locaux","HASSAN.3344","M - Frais communs - Achats de Travaux, Etudes et Prestations de service","SPOC","42","Echue dans 60 jours"
"116","OCP_47895:42906","322_0117_561358663","Port Jorf","JORF B","Fournisseur C","XX","XX","116","116",">4449783","46737400","27203400","46050900","45201500","?_5344861","27280400","MAD","F locaux","RABII.899","S - stocks","SPOC","-5","Echue"
"121","OCP_92915:68322","Q_1205_59433335","Port Jorf","JORF Z","Fournisseur X","Missing","Missing","Missing","Missing","=6204886","22025600","12246300","12993800","1445430",">_4909082","118701","MAD","F locaux","KANFAOUI.67","S - stocks","Litige","13","Echue dans 30 jours"
"122","OCP_30476:60509","CDS30403_0210_58997","Port Jorf","JORF B","Fournisseur Y","XX","XX","122","122",">1281253","66352900","25061900","64765100","34224200","=_1053168","11809100","EUR","F étrangers","SAMAR.8900","M - marché","SPOC","50","Echue dans 60 jours"
"123","OCP_70311:23905","330_0003_565626","Port Jorf","JORF Z","Fournisseur Z","XX","XX","123","123","@5683157","14074600","2573320","7196780","13260500","=_2091325","7306760","USD","F étrangers","RIYAHI.8557","M - Frais communs - Achats de Travaux, Etudes et Prestations de service","SPOC","42","Echue dans 60 jours"
"124","OCP_21196:54546","30_0003_500533","Port Jorf","JORF B","Fournisseur A","XX","XX","124","124","D1952233","26545100","6649630","7179280","3303620","<_4080523","899651","MAD","F locaux","KARAMI.5910","E - Equipement","SPOC","49","Echue dans 60 jours"
"125","OCP_74133:32654","0921_0090_33254427","Port Jorf","JORF Z","Fournisseur B","XX","XX","125","125","C1653365","60567800","26808300","32141400","27170300","?_6549090","7457170","MAD","F locaux","HASSAN.3345","M - Frais communs - Achats de Travaux, Etudes et Prestations de service","SPOC","32","Echue dans 60 jours"
"126","JF8_1756:41321","322_0117_561358664","Port Jorf","JORF B","Fournisseur C","XX","XX","126","126","F2888348","88939900","50119600","62427500","3768060","A_2904614","1543460","MAD","F locaux","RABII.900","S - stocks","SPOC","-3","Echue"
"131","OCP_92602:17638","R_398475_43604590","Port Jorf","JORF Z","Fournisseur X","Missing","Missing","Missing","Missing","?2646496","57065500","17500800","22345200","27162000","@_586399","7608910","MAD","F locaux","KANFAOUI.68","S - stocks","Litige","17","Echue dans 30 jours"
"132","JF8_25274:41426","CDS30403_0210_58998","Port Jorf","JORF B","Fournisseur Y","XX","XX","132","132","@3393868","67497300","52837300","62128700","12628200","B_102319","11747500","USD","F étrangers","SAMAR.8901","M - marché","SPOC","36","Echue dans 60 jours"
"133","JF8_12133:52618","330_0003_565627","Port Jorf","JORF Z","Fournisseur Z","XX","XX","133","133","B1316855","11000500","1609100","4538270","7627940",">_425401","2515110","EUR","F étrangers","RIYAHI.8558","M - Frais communs - Achats de Travaux, Etudes et Prestations de service","SPOC","20","Echue dans 30 jours"
"134","JF8_98360:82590","30_0003_500534","Port Jorf","JORF B","Fournisseur A","XX","XX","134","134","?622798","86567600","18098000","70002400","49893400","@_3169994","38980700","MAD","F locaux","KARAMI.5911","E - Equipement","SPOC","-11","Echue"
"135","JF8_99142:91268","0921_0090_33254428","Port Jorf","JORF Z","Fournisseur B","XX","XX","135","135","E57340","7906560","494436","3884540","7873680","=_3866158","3512530","MAD","F locaux","HASSAN.3346","M - Frais communs - Achats de Travaux, Etudes et Prestations de service","SPOC","58","Echue dans 60 jours"
"136","JF8_5112:55360","322_0117_561358665","Port Jorf","JORF B","Fournisseur C","XX","XX","136","136","=6172688","45361900","22385000","33763400","18058100","C_3834925","17456200","MAD","F locaux","RABII.901","S - stocks","SPOC","41","Echue dans 60 jours"
"141","JF8_11876:35747","M_723611_47435766","Port Jorf","JORF Z","Fournisseur X","Missing","Missing","Missing","Missing","<3185017","29922000","4672770","14517000","27039900","E_5807114","23553200","MAD","F locaux","KANFAOUI.69","S - stocks","Litige","48","Echue dans 60 jours"
"142","JF8_86753:47794","CDS30403_0210_58999","Port Jorf","JORF B","Fournisseur Y","XX","XX","142","142",">5968702","65857700","2875720","5966840","51451400",">_4717653","7261210","USD","F étrangers","SAMAR.8902","M - marché","SPOC","16","Echue dans 30 jours"
"143","JF8_25411:15737","330_0003_565628","Port Jorf","JORF Z","Fournisseur Z","XX","XX","143","143","C793903","34760300","12218700","25243700","27281500","?_5002563","25165000","USD","F étrangers","RIYAHI.8559","M - Frais communs - Achats de Travaux, Etudes et Prestations de service","SPOC","-10","Echue"
"144","JF8_45193:37099","30_0003_500535","Port Jorf","JORF B","Fournisseur A","XX","XX","144","144","A5116102","27758700","17170900","17337600","9533920","F_3338604","7652190","MAD","F locaux","KARAMI.5912","E - Equipement","SPOC","16","Echue dans 30 jours"
"145","JF8_26952:64406","0921_0090_33254429","Port Jorf","JORF Z","Fournisseur B","XX","XX","145","145","D269350","49899900","37311600","47522600","5185080","C_6455421","640396","MAD","F locaux","HASSAN.3347","M - Frais communs - Achats de Travaux, Etudes et Prestations de service","SPOC","34","Echue dans 60 jours"
"146","OCP_34908:10696","322_0117_561358666","Port Jorf","JORF B","Fournisseur C","XX","XX","146","146","C2377244","62565700","6806620","27883900","28959300","E_3629611","20882700","MAD","F locaux","RABII.902","S - stocks","SPOC","48","Echue dans 60 jours"
"151","OCP_89107:83556","Z_856046_7357098","Port Jorf","JORF Z","Fournisseur X","Missing","Missing","Missing","Missing","C4807580","59673700","2271210","2365370","29657800","E_4537445","21364500","MAD","F locaux","KANFAOUI.70","S - stocks","Litige","36","Echue dans 60 jours"
"152","OCP_26954:83644","CDS30403_0210_59000","Port Jorf","JORF B","Fournisseur Y","XX","XX","152","152","E1356555","88571900","17033600","35871800","51325000","F_4553660","47858000","USD","F étrangers","SAMAR.8903","M - marché","SPOC","-18","Echue"
"153","OCP_3251:10189","330_0003_565629","Port Jorf","JORF Z","Fournisseur Z","XX","XX","153","153","F2294820","86571200","16349300","74002100","83944200","D_6114314","61104200","EUR","F étrangers","RIYAHI.8560","M - Frais communs - Achats de Travaux, Etudes et Prestations de service","SPOC","10","Echue dans 30 jours"
"154","JF8_70246:66904","30_0003_500536","Port Jorf","JORF B","Fournisseur A","XX","XX","154","154","E5058385","43059000","21400400","29972300","30619300","F_6356493","5826130","MAD","F locaux","KARAMI.5913","E - Equipement","SPOC","19","Echue dans 30 jours"
"155","OCP_26848:21694","0921_0090_33254430","Port Jorf","JORF Z","Fournisseur B","XX","XX","155","155",">1896162","94720800","40438100","80002400","51521800","F_2266502","9502960","MAD","F locaux","HASSAN.3348","M - Frais communs - Achats de Travaux, Etudes et Prestations de service","SPOC","47","Echue dans 60 jours"
"156","JF8_68646:56757","322_0117_561358667","Port Jorf","JORF B","Fournisseur C","XX","XX","156","156","D6441037","12915100","648886","3525530","5850960","=_353623","703826","MAD","F locaux","RABII.903","S - stocks","SPOC","6","Echue dans 7 jours"
"161","OCP_90490:49458","C_998364_83787527","Port Jorf","JORF Z","Fournisseur X","Missing","Missing","Missing","Missing","F2807419","27464400","105466","22118800","20140300","<_5624923","14684800","MAD","F locaux","KANFAOUI.71","S - stocks","Litige","-5","Echue"
"162","OCP_10368:57311","CDS30403_0210_59001","Port Jorf","JORF B","Fournisseur Y","XX","XX","162","162",">5064211","3543460","353165","1108420","338501","D_227901","219915","USD","F étrangers","SAMAR.8904","M - marché","SPOC","50","Echue dans 60 jours"
"163","JF8_48743:89273","330_0003_565630","Port Jorf","JORF Z","Fournisseur Z","XX","XX","163","163","E5722435","72901500","12521100","55920400","39241000","F_5297833","6621210","USD","F étrangers","RIYAHI.8561","M - Frais communs - Achats de Travaux, Etudes et Prestations de service","SPOC","53","Echue dans 60 jours"
"164","JF8_61958:48678","30_0003_500537","Port Jorf","JORF B","Fournisseur A","XX","XX","164","164","?5520362","41947900","18202700","37180200","12387000","F_2950989","10666800","MAD","F locaux","KARAMI.5914","E - Equipement","SPOC","1","Echue dans 7 jours"
"165","OCP_44800:8710","0921_0090_33254431","Port Jorf","JORF Z","Fournisseur B","XX","XX","165","165","B5388980","18376800","3342740","9184660","10797900","@_472933","8168200","MAD","F locaux","HASSAN.3349","M - Frais communs - Achats de Travaux, Etudes et Prestations de service","SPOC","50","Echue dans 60 jours"
