"RANK","Nom Unité Opérationnelle","Identifiant GED","Site CEC","Service","Fournisseur","Blocage","Chef de projet","Entité","CA","Num commande","Montant de la commande/Appel de cde","Montant des réceptions","Montant des factures","Montant mise à disposition","Numéro Facture","Montant Facture TTC (DEVISE)","Devise Facture","Type","Acheteur","Type d'achat PO","Intervenant","Nombre de jours à l'échéance","Échéance"
"371","JF8_71635:58841","G_675918_62330020","Port Jorf","JORF Z","Fournisseur X","Missing","Missing","Missing","Missing","A1157301","1856260","324858","1750770","1208080","D_3277371","892889","MAD","F locaux","KANFAOUI.92","S - stocks","Litige","14","Echue dans 30 jours"
"381","JF8_6578:30387","Q_30660_33997872","Port Jorf","JORF Z","Fournisseur X","Missing","Missing","Missing","Missing","E5079045","73613400","45043300","72047900","62097300","E_2370081","32526100","MAD","F locaux","KANFAOUI.93","S - stocks","Litige","44","Echue dans 60 jours"
"391","OCP_29810:21453","D_794117_22164254","Port Jorf","JORF Z","Fournisseur X","Missing","Missing","Missing","Missing","?2186638","22415000","635977","5582970","19453100","<_6523297","10025200","MAD","F locaux","KANFAOUI.94","S - stocks","Litige","56","Echue dans 60 jours"
"401","OCP_44551:58954","F_683118_23570329","Port Jorf","JORF Z","Fournisseur X","Missing","Missing","Missing","Missing","C6294090","1044290","60117","77958","739310","B_4196686","572612","MAD","F locaux","KANFAOUI.95","S - stocks","Litige","4","Echue dans 7 jours"
"411","OCP_16246:587","F_395014_51002682","Port Jorf","JORF Z","Fournisseur X","Missing","Missing","Missing","Missing",">5282857","81150800","49157100","60677300","4910550","E_4251048","2276380","MAD","F locaux","KANFAOUI.96","S - stocks","Litige","0","Echue dans 7 jours"
"421","OCP_96743:92998","O_807167_76137314","Port Jorf","JORF Z","Fournisseur X","Missing","Missing","Missing","Missing","<5685210","69693300","13141800","19028500","26320700","D_3008670","26265300","MAD","F locaux","KANFAOUI.97","S - stocks","Litige","47","Echue dans 60 jours"
"422","JF8_15158:86427","CDS30403_0210_59027","Port Jorf","JORF B","Fournisseur Y","XX","XX","JFC28","Karim.Hfad","D6172805","35681900","13536800","27534100","1677610","B_3336863","875625","USD","F étrangers","SAMAR.8930","M - marché","SPOC","51","Echue dans 60 jours"
"431","OCP_79201:870","G_41941_26566715","Port Jorf","JORF Z","Fournisseur X","Missing","Missing","Missing","Missing","D5127093","80390100","44144700","44484500","39472200","B_284232","2023850","MAD","F locaux","KANFAOUI.98","S - stocks","Litige","-1","Echue"
"432","JF8_68686:46086","CDS30403_0210_59028","Port Jorf","JORF B","Fournisseur Y","XX","XX","JFC29","Karim.Hfad","D6632308","77092300","2791580","57238000","9083410","F_267957","4020070","USD","F étrangers","SAMAR.8931","M - marché","SPOC","36","Echue dans 60 jours"
"441","OCP_74610:28388","E_552209_3408364","Port Jorf","JORF Z","Fournisseur X","Missing","Missing","Missing","Missing","B5269386","76598000","65166400","70009600","32272000","@_585000","24672500","MAD","F locaux","KANFAOUI.99","S - stocks","Litige","14","Echue dans 30 jours"
"443","JF8_23245:38673","330_0003_565658","Port Jorf","JORF Z","Fournisseur Z","XX","XX","JFC29","Karim.Hfad","B6350494","3417150","400996","1815840","1715610","<_3722808","257212","USD","F étrangers","RIYAHI.8589","M - Frais communs - Achats de Travaux, Etudes et Prestations de service","SPOC","20","Echue dans 30 jours"
"451","JF8_77172:52018","U_80891_27837376","Port Jorf","JORF Z","Fournisseur X","Missing","Missing","Missing","Missing","F5568818","29539700","1402600","15269100","26156400","D_3290592","12029500","MAD","F locaux","KANFAOUI.100","S - stocks","Litige","57","Echue dans 60 jours"
"453","OCP_53241:47078","330_0003_565659","Port Jorf","JORF Z","Fournisseur Z","XX","XX","JFC30","Karim.Hfad","F1424901","27768000","1434760","26493500","18579800","?_5172937","15906600","EUR","F étrangers","RIYAHI.8590","M - Frais communs - Achats de Travaux, Etudes et Prestations de service","SPOC","-15","Echue"
"461","OCP_43829:23672","@_526318_9608634","Port Jorf","JORF Z","Fournisseur X","Missing","Missing","Missing","Missing","C4503848","14839100","166960","9187660","5817870","<_4073458","5722370","MAD","F locaux","KANFAOUI.101","S - stocks","Litige","40","Echue dans 60 jours"
"464","OCP_15870:59529","30_0003_500567","Port Jorf","JORF B","Fournisseur A","XX","XX","JFC30","Karim.Hfad","C3041164","18948800","6760840","7388910","6551820","B_210082","2918920","MAD","F locaux","KARAMI.5944","E - Equipement","SPOC","37","Echue dans 60 jours"
"471","JF8_41345:35378","C_939189_16879090","Port Jorf","JORF Z","Fournisseur X","Missing","Missing","Missing","Missing","F5431894","50897200","9158780","12074800","907384","@_1600984","159922","MAD","F locaux","KANFAOUI.102","S - stocks","Litige","4","Echue dans 7 jours"
"474","OCP_51969:18620","30_0003_500568","Port Jorf","JORF B","Fournisseur A","XX","XX","JFC31","Karim.Hfad","?3363195","2281330","990426","1867160","2260040","F_6402052","523602","MAD","F locaux","KARAMI.5945","E - Equipement","SPOC","-11","Echue"
"481","JF8_88065:69174","N_420333_63591731","Port Jorf","JORF Z","Fournisseur X","Missing","Missing","Missing","Missing","E4430146","83821000","47773200","79142100","64977600","<_3830797","53753400","MAD","F locaux","KANFAOUI.103","S - stocks","Litige","38","Echue dans 60 jours"
"485","OCP_17733:40965","0921_0090_33254463","Port Jorf","JORF Z","Fournisseur B","XX","XX","JFC31","Karim.Hfad","D1942568","11328200","3862940","9747150","9882980","?_945346","4045320","MAD","F locaux","HASSAN.3381","M - Frais communs - Achats de Travaux, Etudes et Prestations de service","SPOC","33","Echue dans 60 jours"
"491","OCP_30179:60934","V_982973_94276190","Port Jorf","JORF Z","Fournisseur X","Missing","Missing","Missing","Missing","A915896","64306200","11281500","13371600","37672500","=_2538897","8530610","MAD","F locaux","KANFAOUI.104","S - stocks","Litige","34","Echue dans 60 jours"
"495","OCP_84381:39932","0921_0090_33254464","Port Jorf","JORF Z","Fournisseur B","XX","XX","JFC32","Karim.Hfad","C1213082","44141900","25703900","36311900","19541900","E_3461503","12744300","MAD","F locaux","HASSAN.3382","M - Frais communs - Achats de Travaux, Etudes et Prestations de service","SPOC","-6","Echue"
"501","JF8_20818:59470",">_643266_53758270","Port Jorf","JORF Z","Fournisseur X","Missing","Missing","Missing","Missing","C4317292","84284200","1911160","55430400","12717100","<_208979","9559060","MAD","F locaux","KANFAOUI.105","S - stocks","Litige","1","Echue dans 7 jours"
"506","JF8_31109:27819","322_0117_561358702","Port Jorf","JORF B","Fournisseur C","XX","XX","JFC32","Karim.Hfad","B3551926","52051200","8278000","33010400","6328290","B_2635610","46653","MAD","F locaux","RABII.938","S - stocks","SPOC","-20","Echue"
"511","JF8_5334:82963",">_457161_54159990","Port Jorf","JORF Z","Fournisseur X","Missing","Missing","Missing","Missing","@3137492","75925200","29745100","34610400","26519600","B_3940373","4990920","MAD","F locaux","KANFAOUI.106","S - stocks","Litige","29","Echue dans 30 jours"
"521","JF8_33372:99812","P_444012_40495404","Port Jorf","JORF Z","Fournisseur X","Missing","Missing","Missing","Missing","B2700947","6425840","4055580","5845480","4644460","A_2573499","918516","MAD","F locaux","KANFAOUI.107","S - stocks","Litige","40","Echue dans 60 jours"
"531","JF8_64580:30443","K_917350_13413793","Port Jorf","JORF Z","Fournisseur X","Missing","Missing","Missing","Missing","D429219","43314100","7104970","17917100","35921200","B_140062","15078000","MAD","F locaux","KANFAOUI.108","S - stocks","Litige","48","Echue dans 60 jours"
"541","JF8_33924:96074","O_593335_56152441","Port Jorf","JORF Z","Fournisseur X","Missing","Missing","Missing","Missing","=1923166","30854100","162548","15159700","9424220","D_207372","5460640","MAD","F locaux","KANFAOUI.109","S - stocks","Litige","24","Echue dans 30 jours"
"551","OCP_89054:61743","?_808512_48451310","Port Jorf","JORF Z","Fournisseur X","Missing","Missing","Missing","Missing","B6067601","2971360","768762","1282400","1172680","<_3353709","760223","MAD","F locaux","KANFAOUI.110","S - stocks","Litige","44","Echue dans 60 jours"
"561","JF8_7205:11239","?_282844_97559541","Port Jorf","JORF Z","Fournisseur X","Missing","Missing","Missing","Missing","<5524314","14715000","799705","7121240","1441410","<_6172648","862838","MAD","F locaux","KANFAOUI.111","S - stocks","Litige","46","Echue dans 60 jours"
"571","OCP_14051:22261","K_894906_71722741","Port Jorf","JORF Z","Fournisseur X","Missing","Missing","Missing","Missing",">5165264","77932200","64908700","70637900","26799400","=_5274436","3709220","MAD","F locaux","KANFAOUI.112","S - stocks","Litige","-7","Echue"
"581","JF8_46726:6259","R_935131_32026721","Port Jorf","JORF Z","Fournisseur X","Missing","Missing","Missing","Missing","?4507966","24006400","11876500","17197100","2254020","<_5350013","60514","MAD","F locaux","KANFAOUI.113","S - stocks","Litige","2","Echue dans 7 jours"
"591","OCP_53848:28572","A_756767_66756082","Port Jorf","JORF Z","Fournisseur X","Missing","Missing","Missing","Missing","C337721","2295640","995551","1287330","151732","@_4199956","147469","MAD","F locaux","KANFAOUI.114","S - stocks","Litige","28","Echue dans 30 jours"
"601","OCP_90680:58279","L_88812_37144009","Port Jorf","JORF Z","Fournisseur X","Missing","Missing","Missing","Missing","@1649847","18261100","576835","14101300","5790420",">_2043454","3129850","MAD","F locaux","KANFAOUI.115","S - stocks","Litige","6","Echue dans 7 jours"
"611","OCP_56868:36672","U_962561_25813006","Port Jorf","JORF Z","Fournisseur X","Missing","Missing","Missing","Missing","C3238820","9429310","4724040","8416830","2449790","D_3068095","53775","MAD","F locaux","KANFAOUI.116","S - stocks","Litige","-12","Echue"
"621","JF8_37695:74130","W_892205_10536196","Port Jorf","JORF Z","Fournisseur X","Missing","Missing","Missing","Missing","D1994469","47348200","864748","37982700","10601600","F_5115914","1625950","MAD","F locaux","KANFAOUI.117","S - stocks","Litige","48","Echue dans 60 jours"
"631","JF8_64710:48862","O_904297_10129530","Port Jorf","JORF Z","Fournisseur X","Missing","Missing","Missing","Missing","@6635749","24659800","433262","14650900","6131230","B_2589882","5309580","MAD","F locaux","KANFAOUI.118","S - stocks","Litige","59","Echue dans 60 jours"
"632","OCP_61773:47332","CDS30403_0210_59048","Port Jorf","JORF B","Fournisseur Y","XX","XX","JFC38","Karim.Hfad","B918471","87276200","33826200","45866100","47338300","E_5707986","89818","EUR","F étrangers","SAMAR.8951","M - marché","SPOC","23","Echue dans 30 jours"
"641","OCP_16703:68225","K_507033_26496521","Port Jorf","JORF Z","Fournisseur X","Missing","Missing","Missing","Missing",">6284955","74174300","25257800","57367400","41850500","E_1937627","33466400","MAD","F locaux","KANFAOUI.119","S - stocks","Litige","36","Echue dans 60 jours"
"642","OCP_68961:85312","CDS30403_0210_59049","Port Jorf","JORF B","Fournisseur Y","XX","XX","JFC39","Karim.Hfad","@6391168","18555800","3867070","11311700","12268600",">_1088964","9549610","EUR","F étrangers","SAMAR.8952","M - marché","SPOC","8","Echue dans 30 jours"
"651","OCP_73321:52463","U_3129_85630360","Port Jorf","JORF Z","Fournisseur X","Missing","Missing","Missing","Missing","D5654791","5362720","328378","4406340","4481950","=_5423404","3433960","MAD","F locaux","KANFAOUI.120","S - stocks","Litige","47","Echue dans 60 jours"
"653","OCP_69218:78442","330_0003_565679","Port Jorf","JORF Z","Fournisseur Z","XX","XX","JFC39","Karim.Hfad","=5765242","68439600","64158900","65549500","27813200","D_429149","22979300","EUR","F étrangers","RIYAHI.8610","M - Frais communs - Achats de Travaux, Etudes et Prestations de service","SPOC","-2","Echue"
"661","OCP_77031:15212","Y_382224_58454959","Port Jorf","JORF Z","Fournisseur X","Missing","Missing","Missing","Missing","=4784662","82152000","31222900","37801300","38102100","A_228176","28891100","MAD","F locaux","KANFAOUI.121","S - stocks","Litige","-10","Echue"
"663","OCP_24272:42464","330_0003_565680","Port Jorf","JORF Z","Fournisseur Z","XX","XX","JFC40","Karim.Hfad","A5895524","40538200","36928200","37235600","40315000","F_4692415","11530800","EUR","F étrangers","RIYAHI.8611","M - Frais communs - Achats de Travaux, Etudes et Prestations de service","SPOC","54","Echue dans 60 jours"
"671","OCP_53564:38046","X_842938_98028954","Port Jorf","JORF Z","Fournisseur X","Missing","Missing","Missing","Missing","E2556153","57804800","5804590","23851000","12487700","@_2582957","434387","MAD","F locaux","KANFAOUI.122","S - stocks","Litige","50","Echue dans 60 jours"
"674","OCP_3313:48782","30_0003_500588","Port Jorf","JORF B","Fournisseur A","XX","XX","JFC40","Karim.Hfad","@2350615","32722100","388401","12162100","22191100","C_2070802","20858500","MAD","F locaux","KARAMI.5965","E - Equipement","SPOC","36","Echue dans 60 jours"
"681","OCP_14627:89984","I_436192_14003391","Port Jorf","JORF Z","Fournisseur X","Missing","Missing","Missing","Missing","F5118507","4416060","2928660","3094690","2405940","A_6424494","1734220","MAD","F locaux","KANFAOUI.123","S - stocks","Litige","20","Echue dans 30 jours"
"684","OCP_56957:39542","30_0003_500589","Port Jorf","JORF B","Fournisseur A","XX","XX","JFC41","Karim.Hfad","C3907476","38553400","25193900","36651300","11625600","C_4643134","8536120","MAD","F locaux","KARAMI.5966","E - Equipement","SPOC","16","Echue dans 30 jours"
"691","OCP_14620:8344","V_472492_16636685","Port Jorf","JORF Z","Fournisseur X","Missing","Missing","Missing","Missing","F6607950","35533700","6717020","13087000","30375600","B_2431589","12517500","MAD","F locaux","KANFAOUI.124","S - stocks","Litige","51","Echue dans 60 jours"
"695","OCP_40398:62212","0921_0090_33254484","Port Jorf","JORF Z","Fournisseur B","XX","XX","JFC41","Karim.Hfad","B2094331","80772000","23292300","33704600","4295240","<_5960151","555494","MAD","F locaux","HASSAN.3402","M - Frais communs - Achats de Travaux, Etudes et Prestations de service","SPOC","15","Echue dans 30 jours"
"701","JF8_72921:90545","G_352775_1428429","Port Jorf","JORF Z","Fournisseur X","Missing","Missing","Missing","Missing","@593053","12078600","1963220","6401460","5640620","C_4905734","4378820","MAD","F locaux","KANFAOUI.125","S - stocks","Litige","48","Echue dans 60 jours"
"705","OCP_59564:75431","0921_0090_33254485","Port Jorf","JORF Z","Fournisseur B","XX","XX","JFC42","Karim.Hfad",">1877336","25309900","11898400","21853000","2719320","C_2207041","720614","MAD","F locaux","HASSAN.3403","M - Frais communs - Achats de Travaux, Etudes et Prestations de service","SPOC","47","Echue dans 60 jours"
"711","JF8_59050:99594",">_143938_89173825","Port Jorf","JORF Z","Fournisseur X","Missing","Missing","Missing","Missing","E6557215","18443900","4976110","5429100","16879500","=_4370561","16004400","MAD","F locaux","KANFAOUI.126","S - stocks","Litige","2","Echue dans 7 jours"
"716","JF8_84740:47306","322_0117_561358723","Port Jorf","JORF B","Fournisseur C","XX","XX","JFC42","Karim.Hfad","@6211784","78133500","1249980","56037300","41499200","@_1714966","6975130","MAD","F locaux","RABII.959","S - stocks","SPOC","24","Echue dans 30 jours"
"721","JF8_37197:72579","D_457272_66662364","Port Jorf","JORF Z","Fournisseur X","Missing","Missing","Missing","Missing","?1080102","7675910","108744","6618960","2268200","<_1162926","1882040","MAD","F locaux","KANFAOUI.127","S - stocks","Litige","60","Echue dans 60 jours"
"731","OCP_73835:94577","N_607230_80173513","Port Jorf","JORF Z","Fournisseur X","Missing","Missing","Missing","Missing","E2578388","18483400","1348640","6686260","1641240","<_1917907","874336","MAD","F locaux","KANFAOUI.128","S - stocks","Litige","51","Echue dans 60 jours"
